100
59		–‹Ê´º—	   1	      5	      7	      10	      7	      10	      8	      7	      6	      5	      8
60		»Œπ’‰	   0	      5	      8	      9	      10	      7	      7	      8	      9	      7	      9
61		¡ı·∞»⁄	   2	      9	      8	      8	      7	      8	      7	      7	      9	      7	      5
62		ƒ™¥‰ºŒ	   1	      9	      8	      10	      5	      9	      6	      9	      8	      10	      9
63		∫ŒÁ¸Ë¥	   1	      10	      6	      6	      9	      9	      7	      8	      5	      10	      9
64		µÀµ§ Ê	   2	      7	      8	      8	      7	      9	      5	      5	      8	      6	      9
65		¬ÌÊ∑¿ˆ	   0	      10	      9	      7	      9	      10	      8	      7	      6	      6	      8
66		—œ• Á	   1	      7	      6	      9	      5	      6	      7	      7	      8	      5	      9
67		¬¿ÿπ‹Á	   0	      5	      9	      10	      6	      10	      5	      6	      10	      10	      5
68		”⁄“¡≤ 	   1	      5	      9	      7	      9	      5	      8	      5	      8	      5	      10
69		πÀ√º∫Æ	   0	      10	      10	      9	      9	      9	      8	      9	      9	      6	      10
70		 Ø»·∑º	   0	      8	      9	      5	      8	      7	      5	      10	      10	      10	      5
71		∫ÿÿπ¬∂	   0	      10	      10	      10	      7	      10	      5	      5	      9	      9	      7
72		Ã’æÍ›º	   0	      10	      9	      8	      9	      5	      10	      5	      9	      7	      10
73		¬¨«…œ˛	   2	      9	      5	      5	      8	      6	      9	      5	      7	      5	      5
74		ø◊¥∫“¡	   2	      6	      8	      9	      5	      7	      8	      10	      9	      10	      5
75		ΩØ‹ø‚˘	   2	      10	      7	      9	      9	      5	      7	      9	      7	      9	      8
76		„∆«…Êø	   0	      5	      7	      9	      5	      5	      9	      8	      10	      8	      10
77		Õı”˝’‰	   1	      9	      10	      8	      8	      6	      9	      9	      10	      10	      5
78		 ∑–¿π	   2	      6	      5	      6	      10	      5	      6	      8	      5	      10	      8
79		∫ÿ‘∑Ë¥	   1	      9	      6	      8	      6	      5	      8	      10	      10	      7	      9
80		∫Óƒ˛—≈	   2	      7	      8	      9	      8	      5	      9	      9	      8	      10	      5
81		ÀÔœº√∑	   0	      5	      8	      9	      6	      10	      5	      5	      8	      10	      10
82		„∆œ„»·	   2	      7	      6	      6	      6	      5	      6	      10	      9	      10	      6
83		πÀ≤ ‚˘	   2	      9	      5	      10	      5	      5	      8	      10	      10	      8	      10
84		π®º——≈	   0	      9	      8	      7	      10	      5	      9	      9	      8	      9	      7
85		“∂Êµ·∞	   1	      9	      5	      9	      9	      5	      8	      5	      8	      8	      5
86		„∆—‡·∞	   2	      8	      5	      6	      7	      5	      9	      10	      9	      6	      7
87		∑∂‹∞Ê∑	   0	      8	      10	      7	      8	      8	      9	      7	      9	      10	      5
88		“¸’Í”∞	   1	      5	      10	      5	      7	      10	      8	      9	      8	      7	      8
89		∂≈Ë™”Ò	   1	      7	      10	      5	      8	      7	      5	      7	      5	      5	      6
90		—Ó÷Ò¿Û	   2	      8	      9	      10	      5	      8	      8	      10	      10	      6	      8
91		Ω™∆Æ›Ì	   1	      8	      5	      6	      8	      5	      9	      7	      6	      6	      6
92		ÕÚ∑∆«…	   1	      7	      6	      8	      6	      10	      7	      7	      6	      7	      5
93		ƒ™¿Ωœº	   0	      10	      10	      6	      7	      8	      6	      7	      10	      9	      10
94		÷” Á∑º	   0	      5	      7	      9	      6	      9	      6	      10	      7	      6	      5
95		œÚ¡’Ë•	   1	      6	      7	      10	      5	      7	      5	      6	      7	      7	      8
96		Œ§»·’‰	   0	      7	      8	      7	      5	      6	      6	      9	      9	      6	      7
97		–Ï“¡¿Ú	   0	      9	      5	      5	      5	      8	      6	      6	      9	      10	      6
98		π˘∫…»Ÿ	   0	      5	      6	      5	      8	      10	      8	      7	      8	      10	      9
99		÷Ï Ê∞Æ	   0	      6	      9	      6	      7	      6	      10	      8	      5	      9	      6
100		”‡∑Ô÷¶	   0	      8	      8	      7	      5	      9	      6	      9	      8	      7	      10
